




































0;0;5;1
19-10-2020 10:53:11 T
19-10-2020 10:53:12 E
19-10-2020 10:53:13 S
19-10-2020 10:53:14 T
19-10-2020 10:53:15  
19-10-2020 10:53:15  
19-10-2020 10:53:23 BACKSPACE
19-10-2020 10:53:23 BACKSPACE
19-10-2020 10:53:23 BACKSPACE
0;0;9;279
19-10-2020 13:06:24 T
19-10-2020 13:06:24 H
19-10-2020 13:06:24 A
19-10-2020 13:06:25 T
19-10-2020 13:06:25  
19-10-2020 13:06:26 I
19-10-2020 13:06:27 S
19-10-2020 13:06:27  
19-10-2020 13:06:28 S
19-10-2020 13:06:28  
19-10-2020 13:06:29 BACKSPACE
19-10-2020 13:06:29 BACKSPACE
19-10-2020 13:06:29 A
19-10-2020 13:06:30  
19-10-2020 13:06:31 V
19-10-2020 13:06:32 E
19-10-2020 13:06:32 R
19-10-2020 13:06:32 Y
19-10-2020 13:06:33  
19-10-2020 13:06:33 N
19-10-2020 13:06:34 A
19-10-2020 13:06:34 S
19-10-2020 13:06:35 T
19-10-2020 13:06:35 Y
19-10-2020 13:06:36  
19-10-2020 13:06:36 C
19-10-2020 13:06:36 U
19-10-2020 13:06:37 T
19-10-2020 13:06:38 T
19-10-2020 13:06:38 H
19-10-2020 13:06:39 E
19-10-2020 13:06:39  
19-10-2020 13:06:40 Q
19-10-2020 13:06:40 U
19-10-2020 13:06:40 I
19-10-2020 13:06:41 C
19-10-2020 13:06:42 K
19-10-2020 13:06:42  
19-10-2020 13:06:42 B
19-10-2020 13:06:43 R
19-10-2020 13:06:43 O
19-10-2020 13:06:44 W
19-10-2020 13:06:44 N
19-10-2020 13:06:45  
19-10-2020 13:06:46 F
19-10-2020 13:06:46 O
19-10-2020 13:06:47 X
19-10-2020 13:06:47  
19-10-2020 13:06:48 J
19-10-2020 13:06:48 A
19-10-2020 13:06:49 BACKSPACE
19-10-2020 13:06:50 U
19-10-2020 13:06:50 M
19-10-2020 13:06:51 P
19-10-2020 13:06:52 E
19-10-2020 13:06:52 D
19-10-2020 13:06:54 P
19-10-2020 13:06:55 L
19-10-2020 13:06:55 A
19-10-2020 13:06:56 Y
19-10-2020 13:06:57 E
19-10-2020 13:06:57 R
19-10-2020 13:06:57 S
19-10-2020 13:06:58  
19-10-2020 13:06:58 M
19-10-2020 13:06:59 U
19-10-2020 13:06:59 S
19-10-2020 13:06:59 T
19-10-2020 13:07:00  
19-10-2020 13:07:01 K
19-10-2020 13:07:02 N
19-10-2020 13:07:02 O
19-10-2020 13:07:03 W
19-10-2020 13:07:04  
19-10-2020 13:07:04 A
19-10-2020 13:07:05 L
19-10-2020 13:07:05 L
19-10-2020 13:07:05  
19-10-2020 13:07:06 T
19-10-2020 13:07:06 H
19-10-2020 13:07:07 E
19-10-2020 13:07:07  
19-10-2020 13:07:07 R
19-10-2020 13:07:08 U
19-10-2020 13:07:08 L
19-10-2020 13:07:09 E
19-10-2020 13:07:10 S
19-10-2020 13:07:12 I
19-10-2020 13:07:12 T
19-10-2020 13:07:13  
19-10-2020 13:07:14 I
19-10-2020 13:07:14 S
19-10-2020 13:07:15  
19-10-2020 13:07:15 D
19-10-2020 13:07:15 I
19-10-2020 13:07:16 F
19-10-2020 13:07:16 F
19-10-2020 13:07:16 I
19-10-2020 13:07:17 C
19-10-2020 13:07:17 U
19-10-2020 13:07:18 L
19-10-2020 13:07:18 T
19-10-2020 13:07:19  
19-10-2020 13:07:19 T
19-10-2020 13:07:19 O
19-10-2020 13:07:20  
19-10-2020 13:07:20 C
19-10-2020 13:07:21 O
19-10-2020 13:07:21 N
19-10-2020 13:07:22 C
19-10-2020 13:07:22 E
19-10-2020 13:07:22 N
19-10-2020 13:07:23 T
19-10-2020 13:07:23 R
19-10-2020 13:07:24 A
19-10-2020 13:07:24 T
19-10-2020 13:07:24 E
19-10-2020 13:07:26 S
19-10-2020 13:07:26 H
19-10-2020 13:07:26 A
19-10-2020 13:07:28 R
19-10-2020 13:07:29 P
19-10-2020 13:07:29  
19-10-2020 13:07:30 C
19-10-2020 13:07:30 H
19-10-2020 13:07:30 E
19-10-2020 13:07:31 S
19-10-2020 13:07:31 BACKSPACE
19-10-2020 13:07:32 E
19-10-2020 13:07:32 S
19-10-2020 13:07:32 E
19-10-2020 13:07:33 K
19-10-2020 13:07:34 BACKSPACE
19-10-2020 13:07:34  
19-10-2020 13:07:36 K
19-10-2020 13:07:36 E
19-10-2020 13:07:36 E
19-10-2020 13:07:37 P
19-10-2020 13:07:37 S
19-10-2020 13:07:38  
19-10-2020 13:07:39 T
19-10-2020 13:07:39 H
19-10-2020 13:07:39 E
19-10-2020 13:07:40  
19-10-2020 13:07:40 M
19-10-2020 13:07:41 I
19-10-2020 13:07:41 N
19-10-2020 13:07:42 D
19-10-2020 13:07:42  
19-10-2020 13:07:42 S
19-10-2020 13:07:43 H
19-10-2020 13:07:43 A
19-10-2020 13:07:44 R
19-10-2020 13:07:44 P
19-10-2020 13:07:46 A
19-10-2020 13:07:47 P
19-10-2020 13:07:47 A
19-10-2020 13:07:48 R
19-10-2020 13:07:48 T
